"Bot Name:","Travel Assistant"
"Report name:","Successful user utterances"
"Bot Language:","en"
"Run Type:","inDevelopment"
"Threshold Setting","Mode","minThreshold","maxThreshold","exactMatchThreshold","isActive","taskMatchTolerance","wordCoverage","suggestionsCount","pathCoverage"
"","ml","0.3","80","95","true","","","",""
"","faq","60","80","95","true","5","","3","50"
"","cs","60","80","","true","","60","",""
"","rr","","","","true","2","","",""
"Last tested date and time:","05-18-2022 9:22:52 AM"
"Utterance count:","383"
"Percentage breakdown:","97.39% True Positive","0.00% True Negative","2.61% False Positive","0.00% False Negative"
"Success / Failure Ratio:","97.39"
"F1 Score:","0.99"
"Precision:","0.97"
"Recall:","1.00"
"Utterance","ExpectedIntent","MatchedIntent","Parent Intent","TaskState","ResultType","Matched Intent's Score","Expected Intent's Score"
"Book Flight","book flight","book flight","None","configured","TP","ML: 0.9083987846915441; FM: 11910; RR: 11910","ML: 0.9083987846915441; FM: 11910; RR: 11910"
"Book Flight","book flight","book flight","None","configured","TP","FM: 11910; RR: 11910","FM: 11910; RR: 11910"
"Fetch Booking Details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12112.22; RR: 12112.22","ML: 0.9974730467356652; FM: 12112.22; RR: 12112.22"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"Cab Booking Details","book cab","book cab","None","configured","TP","ML: 0.18978498985643613; FM: 10780; RR: 10780","ML: 0.18978498985643613; FM: 10780; RR: 10780"
"fetch booking details","fetch booking details","fetch booking details","None","configured","TP","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22","ML: 0.9974730467356652; FM: 12312.22; RR: 12312.22"
"Cab Booking Details","book cab","book cab","None","configured","TP","ML: 0.18978498985643613; FM: 10780; RR: 10780","ML: 0.18978498985643613; FM: 10780; RR: 10780"
"book cab","book cab","book cab","None","configured","TP","ML: 0.9684841275498065; FM: 11910; RR: 11910","ML: 0.9684841275498065; FM: 11910; RR: 11910"
"update booking","update booking","update booking","None","configured","TP","ML: 0.9966247552720899; FM: 11910; RR: 11910","ML: 0.9966247552720899; FM: 11910; RR: 11910"
"Delete Booking","update booking","update booking","None","configured","TP","ML: 0.8226188954044774; FM: 8830; RR: 8830","ML: 0.8226188954044774; FM: 8830; RR: 8830"
